PostNumber,SymptomName,PostLink,Title,Author,Total_Replies,Total_Weight
12.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Carpal Tunnel Syndrome', 'Dehydration', 'Coronavirus Infections', 'Dandy-Walker Syndrome', 'Seizures', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=44,covid-19 and feeling helpless,marjou @marjou,28,1404.1666666666667
13.0,"['Pelvic Organ Prolapse', 'Pain, Postoperative', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=52,should mayo patients report their vaccine to mayo?,laurie @roch,6,303.84615384615387
14.0,"['Infantile Neuroaxonal Dystrophy', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=57,help find a vaccine for covid-19,"merry, volunteer mentor @merpreb",58,2903.5714285714284
15.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', ""Little's Disease"", 'Carpal Tunnel Syndrome', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=61,covid vaccine re-prioritization in california - type 2 diabetes,yakoubou @yakoubou,4,203.33333333333334
16.0,"[""Little's Disease"", 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=72,83 yr old mom all alone,beast66 @beast66,36,1803.125
17.0,"['Spastic syndrome', 'Chronic otitis media', 'Lung Diseases, Obstructive', 'Acute gastroenteritis', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=64,mesenteric panniculitis and the covid vaccine,beckymel @beckymel,2,102.94117647058823
18.0,"['Preeclamptic toxemia', 'Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=74,"new information on (clear) masks, for people with hearing loss",arrowshooter @arrowshooter,42,2102.777777777778
19.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Communicable Diseases', 'Palmar-plantar erythrodysesthesia syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=75,covid-19 vaccination & epilepsy,fbutterw20 @fbutterw20,6,302.63157894736844
20.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', ""Little's Disease"", 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=53,how long will i continue to test positive?,zrkat21 @zrkat21,10,502.5
21.0,"['Malignant hyperpyrexia due to anesthesia', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=76,covid19 id cards,flcipriano44 @flcipriano44,6,302.3809523809524
22.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Dermatofibrosis lenticularis disseminata', 'Testicular regression syndrome', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=77,lock down from covid and depression,susu2 @susu2,22,1102.2727272727273
23.0,"[""Little's Disease"", 'Chronic Obstructive Airway Disease', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=78,double up your masks,"merry, volunteer mentor @merpreb",56,2802.1739130434785
24.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=79,covid-19 vaccination & epilepsy,fbutterw20 @fbutterw20,6,302.0833333333333
25.0,"['Infantile Neuroaxonal Dystrophy', 'Simian Acquired Immunodeficiency Syndrome', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=83,how long will i continue to test positive?,zrkat21 @zrkat21,10,502.0
26.0,"['nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=58,covid19 id cards,flcipriano44 @flcipriano44,6,301.9230769230769
27.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Chronic otitis media', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=86,lock down from covid and depression,susu2 @susu2,22,1101.851851851852
28.0,"['Hypertensive disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Myocardial Infarction', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=89,double up your masks,"merry, volunteer mentor @merpreb",56,2801.785714285714
29.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Seizures', 'Gait, Drop Foot', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=54,humor and fun chat diversions during the coronavirus crisis: join us,imallears @imallears,200,10001.724137931034
30.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=70,how to get information about covid vaccine in your area [links only],"sue, volunteer mentor @sueinmn",24,1201.6666666666667
31.0,"['Malignant hyperpyrexia due to anesthesia', 'Coronary Arteriosclerosis', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=85,no covid vaccines in mayo. waiting for supplies.,naiviv @naiviv,2,101.61290322580645
32.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Flatulence', 'Sensory Discomfort', 'Exhaustion', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=92,interactions between sars-cov-2 variants?,armando @bolso1,10,501.5625
33.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Amelogenesis imperfecta nephrocalcinosis', 'Tired', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=90,copd and the covid 19 vaccine,ppr @ppr,8,401.5151515151515
34.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Wolf-Hirschhorn Syndrome', 'Gray Platelet Syndrome', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=94,"can thymectomized patients receive vaccinations, specifically covid19?",pdietrich @pdietrich,14,701.4705882352941
35.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Malignant hyperpyrexia due to anesthesia', 'Palmar-plantar erythrodysesthesia syndrome', 'sick to stomach', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=96,crohn's and covid 19 shots is it safe,chaswach @chaswach,12,601.4285714285714
36.0,"['Malignant hyperpyrexia due to anesthesia', 'Testicular regression syndrome', 'Signs and Symptoms', 'Tired', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=97,vaccines,"merry, volunteer mentor @merpreb",102,5101.388888888889
37.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Disease', 'Dizziness', 'Slow respiration', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=63,covid vaccine and shingrix shots,ronindoman @ronindoman,8,401.35135135135135
38.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'Malignant hyperpyrexia due to anesthesia', 'Amelogenesis imperfecta nephrocalcinosis', 'Wolf-Hirschhorn Syndrome', 'Simian Acquired Immunodeficiency Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=98,anyone have insomnia as symptom of covid-19?,mkqq @mkqq,36,1801.3157894736842
39.0,"['Signs and Symptoms', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=99,undetermined covid test,lmh963 @lmh963,10,501.28205128205127
40.0,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Muscle Cramp', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=100,hypermobile joints/eds and covid,healthhopefreedom @healthhopefreedom,8,401.25
41.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=91,without a vagus nerve & safety of getting covid19 vaccine,domernick @domernick,10,501.219512195122
42.0,"['nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=103,"questions about testing positive, quarantining with family members",shortney4 @shortney4,4,201.1904761904762
43.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=93,"""air"" full head protective mask",rseitzberg @rseitzberg,8,401.16279069767444
44.0,"['Pallister-Hall syndrome', 'Disorder of face', 'Lung Diseases, Obstructive', 'Coronavirus Infections', 'Seizures', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=105,how to keep moving when you can't go out to walk or get to the gym,"sue, volunteer mentor @sueinmn",58,2901.1363636363635
45.0,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Bronchopulmonary Dysplasia', 'POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE', 'Disease', 'Pain', 'Dyspnea on exertion', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=106,should you fly home to get the vaccine when its your turn?,jeannettepma5 @jeannettepma5,14,701.1111111111111
46.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Hantavirus Infections', 'Autoimmune disease (systemic) NOS', 'Malignant hyperpyrexia due to anesthesia', 'Cancer-Associated Retinopathy', 'Myocardial Ischemia', 'Gray Platelet Syndrome', 'Tired', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=104,social distancing and masks,"merry, volunteer mentor @merpreb",20,1001.0869565217391
47.0,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Hepatic Encephalopathy', 'Signs and Symptoms', 'Hyperextension', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=107,winter wellbeing: what are you doing this winter for you?,"colleen young, connect director @colleenyoung",34,1701.063829787234
48.0,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=109,fever clinics,khinmgm8 @khinmgm8,6,301.0416666666667
,,,"my spouse tested positive, now what?",tari4me @tari4me,20,1001.0204081632653
,,,covid 19 antibodies and sex desire,trkeba @trkeba,8,401.0
,,,do i have covid or is it some underlying condition?,mrbrandon @mrbrandon,26,1300.9803921568628
,,,covid-19 and ra,bbjones @bbjones,2,100.96153846153847
,,,covid and celebrating alone changed my x-mas giving,fiesty76 @fiesty76,12,600.9433962264151
,,,"as the pandemic spreads, so can our thanks",fiesty76 @fiesty76,26,1300.9259259259259
,,,"""post-acute covid-19 syndrome""","merry, volunteer mentor @merpreb",4,200.9090909090909
,,,quarantine period for infected children,mshamdann @mshamdann,8,400.89285714285717
,,,dr. fauci,"merry, volunteer mentor @merpreb",0,0.8771929824561403
,,,masks: how do you encourage people that they help?,tjdog @tjdog,96,4800.862068965517
,,,hearing loss after covid,heatnor @heatnor,32,1600.8474576271187
,,,"common symptoms, no cough",daphne47 @daphne47,16,800.8333333333334
,,,my boss spread covid-19 intentionally,blueraven @blueraven,18,900.8196721311475
,,,grandmas and grandpas...opportunity knocks! ideas during covid,"chris trout, volunteer mentor @artscaping",124,6200.806451612903
,,,covid and the end of daylight savings time,"merry, volunteer mentor @merpreb",48,2400.7936507936506
,,,dr. fauci,"merry, volunteer mentor @merpreb",0,0.78125
,,,masks: how do you encourage people that they help?,tjdog @tjdog,96,4800.7692307692305
,,,hearing loss after covid,heatnor @heatnor,32,1600.7575757575758
,,,"common symptoms, no cough",daphne47 @daphne47,16,800.7462686567164
,,,my boss spread covid-19 intentionally,blueraven @blueraven,18,900.7352941176471
,,,grandmas and grandpas...opportunity knocks! ideas during covid,"chris trout, volunteer mentor @artscaping",124,6200.724637681159
,,,covid and the end of daylight savings time,"merry, volunteer mentor @merpreb",48,2400.714285714286
,,,who can visit a patient during covid 19 times?,vanessag @vanessag,6,300.7042253521127
,,,best and worst masks covid-19,cindiwass @cindiwass,82,4100.694444444444
,,,tested negative twice for covid,ihatediabetes @ihatediabetes,14,700.6849315068494
,,,our 10 yr old was just diagnosed with covid-19,fiesty76 @fiesty76,84,4200.675675675676
,,,monthly coronavirus statistics worldwide and in usa,don higgins @dsh33782,8,400.6666666666667
,,,food shelf frenzy,ihatediabetes @ihatediabetes,8,400.6578947368421
,,,covid-19 long haulers: symptoms lasting 30 days plus,lmspencerpac @lmspencerpac,32,1600.6493506493507
,,,how to stay up to date with comments particularly relevant for oneself,barbb @barbb,16,800.6410256410256
,,,donating blood during covid-19,schlegdiesel @schlegdiesel,38,1900.632911392405
,,,heard something about covid and reinfection,cindiwass @cindiwass,36,1800.625
,,,isolation: how do we handle it?,"teresa, volunteer mentor @hopeful33250",300,15000.617283950618
,,,covid: july and still no decisions about public schools reopening,fiesty76 @fiesty76,30,1500.6097560975609
,,,covid-19 testing: how are the data calculated?,tjdog @tjdog,22,1100.6024096385543
,,,grief in the time of covid-19,fiesty76 @fiesty76,52,2600.595238095238
,,,lung lavage,craigm1209 @craigm1209,2,100.58823529411765
,,,covid-19: what does it mean for people in icu and for families?,"rosemary, volunteer mentor @rosemarya",156,7800.581395348837
,,,covid-19 and cancer: how are you preparing for the re-opening?,"merry, volunteer mentor @merpreb",28,1400.5747126436781
,,,blood types and covid-19,jack32 @jack32,92,4600.568181818182
,,,confused about covid-19 symptom progression,mkqq @mkqq,36,1800.561797752809
,,,life is an adventure - how to keep it up with covid-19?,"sue, volunteer mentor @sueinmn",48,2400.5555555555557
,,,confused about covid-19 symptom progression,mkqq @mkqq,36,1800.5494505494505
,,,life is an adventure - how to keep it up with covid-19?,"sue, volunteer mentor @sueinmn",48,2400.5434782608695
,,,"covid-19, the fear of the flu",mgmolly @erinmfs,100,5000.537634408603
,,,covid-19 and addiction recovery: the importance of staying social,"teresa, volunteer mentor @hopeful33250",4,200.53191489361703
,,,where to get testing az for out-of-state person needing to travel?,cvanrip @cvanrip,8,400.5263157894737
,,,"taking our minds off things, what are you watching??",januaryjane @januaryjane,154,7700.520833333333
,,,literally caught with my pants down! being prepared & covid,fiesty76 @fiesty76,52,2600.5154639175257
,,,sending covid patients to nursing homes in minnesota,ihatediabetes @ihatediabetes,30,1500.5102040816328
,,,"testing, antibodies & convalescent plasma as treatment option?",jdlogan65 @jdlogan65,34,1700.5050505050506
,,,how to manage depression during covid19 age?,aliali @aliali,66,3300.5
,,,distancing at home,ozma @ozma,46,2300.4950495049507
,,,pregnant and worried,pregnant worried,1,100.0
,,,supports for parents/caregivers,boymom 18,3,175.0
,,,worried about going outside when i need to run errands,notjessica jones,2,116.66666666666667
,,,talking to family/friends about social distancing,golden 001,2,112.5
,,,stressed about going to work,dreamer 85,1,60.0
,,,family workspace stress,at home,5,258.3333333333333
,,,getting through,chocolate chip,2,107.14285714285714
,,,effects of social/physical-distancing on mood,alone worried,6,306.25
,,,stressed about parent in nursing home,brooklyn 56,1,55.55555555555556
,,,working and home schooling,blueberry 14,1,55.0
,,,keeping the custodial staff safe,always mom,5,254.54545454545453
,,,nutrition and exercise,cast away,13,654.1666666666666
,,,staying connected,girl mom,6,303.84615384615387
,,,creative quaratining,harbir parmar,1,53.57142857142857
,,,maintaining progress while feeling overwhelmed,elephants rock,4,203.33333333333334
,,,seeing or talking to doctors regularly?,shark attack56,1,53.125
,,,how much screen time?,guitar girl,1,52.94117647058823
,,,positive side of things?,cactus 1994,2,102.77777777777777
,,,anxiety,s kau,1,52.631578947368425
,,,work,maria-grazia dragonetti,4,202.5
,,,payroll,george hockey,1,52.38095238095238
,,,being pressured to work at the office,dotdot exclamationpoint,3,152.27272727272728
,,,feeling down,cr r,4,202.17391304347825
,,,what do i do?,ihave aquestion,2,102.08333333333333
,,,staying positive,n u,2,102.0
,,,can time fly by?,summer girl20,6,301.9230769230769
,,,neighbours not isolating,the dude abides,3,151.85185185185185
,,,having to stay home,mya mya,1,51.785714285714285
,,,how long will this go on for?,pauly p,9,451.7241379310345
,,,great time for deep reflections!~,gary goodwin,7,351.6666666666667
,,,"i need help, i have no supports",cactus 1994,4,201.61290322580646
,,,higher risk = higher panic,ethel luna,1,51.5625
,,,feeling down,cr r,10,501.5151515151515
,,,help! can't get my antidepressant anymore!!! nardil,butterflyna i am,8,401.47058823529414
,,,pandemic help,basketball11 love101,1,51.42857142857143
,,,addiction and mental health during this pandemic,zeriah sawyer-dodge,1,51.388888888888886
,,,"meditation, mindfulness and stress relieving techniques",duchess of toronto,11,551.3513513513514
,,,not comforable with my family doctor,sue nich,1,51.31578947368421
,,,harm reduction kits? addiction support?,insom 96,1,51.282051282051285
,,,is anyone perfect when it comes to physical distancing?,guitar girl,1,51.25
,,,"i have mixed feelings about things opening up , i like to go back to normal but worried that i will get the virus and that the employer will provide the safety for employees",scott stafford,3,151.21951219512195
,,,making an effort to reach out,davana l,2,101.19047619047619
,,,friend problem,catness 45,4,201.1627906976744
,,,any good safe economical facemark referral please?,worried parent,1,51.13636363636363
,,,just reaching out,john doe,1,51.111111111111114
,,,anxiety/saddness,jenny d.,2,101.08695652173913
,,,sleeping,northern dancer,1,51.06382978723404
,,,feeling abused by expectations on ltc managers & staff,mustang sally,1,51.041666666666664
